a	a!
molen'n'an	m o! l' e n' a n
molen'n'an	m o! l' e n' n' a n
molen'n'at	m o! l' e n' a t
molen'n'at	m o! l' e n' n' a t
molen'n'oile	m o! l' e n' o j l' e
molen'n'oile	m o! l' e n' n' o j l' e
molen'n'uzualu	m o! l' e n' u z u a l u
molen'n'uzualu	m o! l' e n' n' u z u a l u
moliheze	m o! l' i h' e z' e
moliihez	m o! l' i: h' e z
moliiheze	m o! l' i: h' e z' e
molimaheze	m o! l' i m a h' e z' e
molimmos	m o! l' i m o s
molimmos	m o! l' i m m o s
molimos	m o! l' i m o s
molinuheze	m o! l' i n u h' e z' e
molittihez	m o! l' i t' i h' e z
molittihez	m o! l' i t' t' i h' e z
molittiheze	m o! l' i t' i h' e z' e
molittiheze	m o! l' i t' t' i h' e z' e
mollembat	m o! l' e m b a t
mollembat	m o! l' l' e m b a t
mollembii	m o! l' e m b' i:
mollembii	m o! l' l' e m b' i:
mollembile	m o! l' e m b' i l' e
mollembile	m o! l' l' e m b' i l' e
moloka	m a l a k a!
moločat	m o! l o ch a t
moločču	m o! l o ch u
moločču	m o! l o ch ch u
monahoin	m o! n a h o j n
monasteri	m o! n a s t' e r' i
monasterih	m o! n a s t' e r' i h
monasterii	m o! n a s t' e r' i:
monasterin	m o! n a s t' e r' i n
monasteris	m o! n a s t' e r' i s
monasterispäi	m o! n a s t' e r' i s p' ae j
monaška	m o! n a sh k a
monaškat	m o! n a sh k a t
monaškoile	m o! n a sh k o j l' e
mondu	m o! n d u
monen	m o! n' e n
moni	m o! n' i
monii	m o! n' i:
monipuoline	m o! n' i p u o l' i n' e
monis	m o! n' i s
monuahat	m o! n u a h a t
monuahu	m o! n u a h u
monuahua	m o! n u a h u a
mor'u	m o! r' u
morkofkat	m o! r k o f k a t
morkofkua	m o! r k o f k u a
morkovkaa	m o! r k o v k a:
morozilkah	m o! r o z' i l k a h
morozko	m a r o! z k a
moskovah	m o! s k o v a h
moskovan	m o! s k o v a n
moskovas	m o! s k o v a s
moskve	m a s k v' e!
mostu	m o! s t u
motciklal	m o! t ts i^ k l a l
motociklu	m o! t o ts i^ k l u
motopiedan	m o! t o p' i e d a n
motor	m o! t o r
motoraine	m o! t o r a j n' e
motoran	m o! t o r a n
motoroin	m o! t o r o j n
mototsiklua	m o! t o t s' i k l u a
moudah	m o! u d a h
moudua	m o! u d u a
mošnikova	m o! sh n' i k o v a
moštu	m o! sh t u
možet	m o! zh y t
mua	m u! a
muadu	m u! a d u
muah	m u! a h
muahpanendua	m u! a h p a n' e n d u a
muailmal	m u! a j l m a l
muailman	m u! a j l m a n
muailmas	m u! a j l m a s
muailmu	m u! a j l m u
muailmua	m u! a j l m u a
mual	m u! a l
mualattu	m u! a l a t u
mualattu	m u! a l a t t u
mualavus	m u! a l a v u s
muale	m u! a l' e
mualois	m u! a l o j s
muamah	m u! a m a h
muamahke	m u! a m a h k' e
muamal	m u! a m a l
muaman	m u! a m a n
muamanke	m u! a m a n k' e
muamas	m u! a m a s
muamat	m u! a m a t
muamo	m u! a m o
muamoloi	m u! a m o l o j
muamorukku	m u! a m o r u k u
muamorukku	m u! a m o r u k k u
muamua	m u! a m u a
muan	m u! a n
muanitannuh	m u! a n' i t a n u h
muanitannuh	m u! a n' i t a n n u h
muanitettih	m u! a n' i t' e t' i h
muanitettih	m u! a n' i t' e t' t' i h
muanittamah	m u! a n' i t a m a h
muanittamah	m u! a n' i t t a m a h
muanitus	m u! a n' i t u s
muanitustu	m u! a n' i t u s t u
muanpindassah	m u! a n p' i n d a s a h
muanpindassah	m u! a n p' i n d a s s a h
muanragoh	m u! a n r a g o h
muanruadajan	m u! a n r u a d a j a n
muansuonis	m u! a n s u o n' i s
muanviljelijan	m u! a n v' i l j e l' i j a n
muapalaine	m u! a p a l a j n' e
muarjaine	m u! a r j a j n' e
muarjan	m u! a r j a n
muarjas	m u! a r j a s
muarjat	m u! a r j a t
muarjua	m u! a r j u a
muarjupaikat	m u! a r j u p a j k a t
muarjutuhjot	m u! a r j u t u h j o t
muarjužikko	m u! a r j u zh i^ k o
muarjužikko	m u! a r j u zh i^ k k o
muarjužikoile	m u! a r j u zh i^ k o j l' e
muas	m u! a s
muaspäi	m u! a s p' ae j
muassah	m u! a s a h
muassah	m u! a s s a h
muasteriloi	m u! a s t' e r' i l o j
muasteriloil	m u! a s t' e r' i l o j l
muasterin	m u! a s t' e r' i n
muat	m u! a t
muata	m u! a t a
muatalovuksen	m u! a t a l o v u k s' e n
muatalovustoimisto	m u! a t a l o v u s t o j m' i s t o
muatalovustoimiston	m u! a t a l o v u s t o j m' i s t o n
muatila	m u! a t' i l a
muatkoinke	m u! a t k o j n k' e
muattih	m u! a t' i h
muattih	m u! a t' t' i h
muattua	m u! a t u a
muattua	m u! a t t u a
mudžoi	m u! d zh o j
muga	m u! g a
mugah	m u! g a h
mugahäi	m u! g a h' ae j
mugai	m u! g a j
mugaigi	m u! g a j g' i
mugaže	m u! g a zh e
muhahtellen	m u! h a h t' e l' e n
muhahtellen	m u! h a h t' e l' l' e n
muhahtih	m u! h a h t' i h
muhaltajen	m u! h a l t a j e n
muhelehtua	m u! h' e l' e h t u a
muhelo	m u! h' e l o
muheloittajen	m u! h' e l o j t a j e n
muheloittajen	m u! h' e l o j t t a j e n
muheloittanuh	m u! h' e l o j t a n u h
muheloittanuh	m u! h' e l o j t t a n u h
muhizijois	m u! h' i z' i j o j s
muhun	m u! h u n
muigei	m u! j g' e j
muigenou	m u! j g' e n o u
muijal	m u! j a l
muilata	m u! j l a t a
muile	m u! j l' e
muilua	m u! j l u a
muite	m u! j t' e
muitegi	m u! j t' e g' i
muiteh	m u! j t' e h
muiten	m u! j t' e n
mujezerkah	m u! j e z' e r k a h
mukeldui	m u! k' e l d u j
mukelduo	m u! k' e l d u o
mukittajes	m u! k' i t a j e s
mukittajes	m u! k' i t t a j e s
mulliško	m u! l' i sh k o
mulliško	m u! l' l' i sh k o
mulloi	m u! l o j
mulloi	m u! l l o j
mulloštu	m u! l o sh t u
mulloštu	m u! l l o sh t u
munuu	m u! n u:
muokat	m u! o k a t
muokattih	m u! o k a t' i h
muokattih	m u! o k a t' t' i h
muokkavunnuot	m u! o k a v u n u o t
muokkavunnuot	m u! o k k a v u n u o t
muokkavunnuot	m u! o k a v u n n u o t
muokkavunnuot	m u! o k k a v u n n u o t
muokkuau	m u! o k u a u
muokkuau	m u! o k k u a u
murdi	m u! r d' i
murdua	m u! r d u a
murendettu	m u! r' e n d' e t u
murendettu	m u! r' e n d' e t t u
murendi	m u! r' e n d' i
murettih	m u! r' e t' i h
murettih	m u! r' e t' t' i h
murginan	m u! r g' i n a n
murginassah	m u! r g' i n a s a h
murginassah	m u! r g' i n a s s a h
murginua	m u! r g' i n u a
murrammo	m u! r a m o
murrammo	m u! r r a m o
murrammo	m u! r a m m o
murrammo	m u! r r a m m o
murrettih	m u! r' e t' i h
murrettih	m u! r' r' e t' i h
murrettih	m u! r' e t' t' i h
murrettih	m u! r' r' e t' t' i h
murčevunnuh	m u! r ch e v u n u h
murčevunnuh	m u! r ch e v u n n u h
murčin	m u! r ch i n
murčukku	m u! r ch u k u
murčukku	m u! r ch u k k u
must'oidu	m u! s t' o j d u
mustaa	m u! s t a:
mustal	m u! s t a l
mustan	m u! s t a n
mustannuh	m u! s t a n u h
mustannuh	m u! s t a n n u h
mustanuh	m u! s t a n u h
mustas	m u! s t a s
mustat	m u! s t a t
mustatgo	m u! s t a t g o
mustatto	m u! s t a t o
mustatto	m u! s t a t t o
mustau	m u! s t a u
mustazitto	m u! s t a z' i t o
mustazitto	m u! s t a z' i t t o
mustelemmo	m u! s t' e l' e m o
mustelemmo	m u! s t' e l' e m m o
mustelen	m u! s t' e l' e n
musteli	m u! s t' e l' i
mustelizitto	m u! s t' e l' i z' i t o
mustelizitto	m u! s t' e l' i z' i t t o
mustella	m u! s t' e l a
mustella	m u! s t' e l l a
mustellah	m u! s t' e l a h
mustellah	m u! s t' e l l a h
mustelou	m u! s t' e l o u
musteltah	m u! s t' e l t a h
musteltih	m u! s t' e l t' i h
mustettih	m u! s t' e t' i h
mustettih	m u! s t' e t' t' i h
mustii	m u! s t' i:
mustis	m u! s t' i s
musto	m u! s t o
mustoh	m u! s t o h
mustoitatto	m u! s t o j t a t o
mustoitatto	m u! s t o j t a t t o
mustoiteltih	m u! s t o j t' e l t' i h
mustoitettih	m u! s t o j t' e t' i h
mustoitettih	m u! s t o j t' e t' t' i h
mustoittajien	m u! s t o j t a j i e n
mustoittajien	m u! s t o j t t a j i e n
mustoitti	m u! s t o j t' i
mustoitti	m u! s t o j t' t' i
mustokse	m u! s t o k s' e
mustos	m u! s t o s
mustospäivät	m u! s t o s p' ae j v' ae t
mustot	m u! s t o t
mustotti	m u! s t o t' i
mustotti	m u! s t o t' t' i
mustu	m u! s t u
mustua	m u! s t u a
mustuhäi	m u! s t u h' ae j
mustukyly	m u! s t u k' y l' y
muu	m u:!
muudu	m u:! d u
muudumuudu	m u:! d u m u: d u
muugi	m u:! g' i
muur'oidu	m u:! r' o j d u
muut	m u:! t
muutat	m u:! t a t
muuten	m u:! t' e n
muuttuu	m u:! t u:
muuttuu	m u:! t t u:
muutui	m u:! t u j
muututtih	m u:! t u t' i h
muututtih	m u:! t u t' t' i h
muuzikkua	m u:! z' i k u a
muuzikkua	m u:! z' i k k u a
muzavumuankarvažen	m u! z a v u m u a n k a r v a zh e n
muzeih	m u! z' e j h
muzeihhäi	m u! z' e j h' ae j
muzeihhäi	m u! z' e j h' h' ae j
muzein	m u! z' e j n
muzeis	m u! z' e j s
mučoi	m u! ch o j
mučoin	m u! ch o j n
mužikal	m u! zh i^ k a l
mužikan	m u! zh i^ k a n
mužikat	m u! zh i^ k a t
mužikata	m u! zh i^ k a t a
mužikattah	m u! zh i^ k a t a h
mužikattah	m u! zh i^ k a t t a h
mužikkaa	m u! zh i^ k a:
mužikkaa	m u! zh i^ k k a:
mužikkaine	m u! zh i^ k a j n' e
mužikkaine	m u! zh i^ k k a j n' e
mužikkoigi	m u! zh i^ k o j g' i
mužikkoigi	m u! zh i^ k k o j g' i
mužikku	m u! zh i^ k u
mužikku	m u! zh i^ k k u
mužikkua	m u! zh i^ k u a
mužikkua	m u! zh i^ k k u a
mužikoil	m u! zh i^ k o j l
mužikoile	m u! zh i^ k o j l' e
mužikoinke	m u! zh i^ k o j n k' e
myrkykkähäh	m' y! r k' y k' ae h' ae h
myrkykkähäh	m' y! r k' y k' k' ae h' ae h
myvvittelen	m' y! v' i t' e l' e n
myvvittelen	m' y! v' v' i t' e l' e n
myvvittelen	m' y! v' i t' t' e l' e n
myvvittelen	m' y! v' v' i t' t' e l' e n
myvväh	m' y! v' ae h
myvväh	m' y! v' v' ae h
myö	m' y! oe
myödih	m' y! oe d' i h
myödäviä	m' y! oe d' ae v' i ae
myödäväkse	m' y! oe d' ae v' ae k s' e
myögi	m' y! oe g' i
myöhembi	m' y! oe h' e m b' i
myöhembäh	m' y! oe h' e m b' ae h
myöhä	m' y! oe h' ae
myöhäi	m' y! oe h' ae j
myöhäine	m' y! oe h' ae j n' e
myöhäžeh	m' y! oe h' ae zh e h
myömäh	m' y! oe m' ae h
myöndykohtas	m' y! oe n d' y k o h t a s
myöndytuuleh	m' y! oe n d' y t u: l' e h
myös	m' y! oe s
myöstin	m' y! oe s t' i n
myöstyin	m' y! oe s t' y j n
myöte	m' y! oe t' e
myöten	m' y! oe t' e n
mädžäitti	m' ae! d zh ae j t' i
mädžäitti	m' ae! d zh ae j t' t' i
mägi	m' ae! g' i
mägih	m' ae! g' i h
mägihieruh	m' ae! g' i h' i e r u h
mägihieruzeh	m' ae! g' i h' i e r u z' e h
mägiläzii	m' ae! g' i l' ae z' i:
mägissäh	m' ae! g' i s' ae h
mägissäh	m' ae! g' i s' s' ae h
mägriäle	m' ae! g r' i ae l' e
mägriälpäi	m' ae! g r' i ae l p' ae j
mägriän	m' ae! g r' i ae n
mägrätjärveh	m' ae! g r' ae t j ae r v' e h
mägrätjärves	m' ae! g r' ae t j ae r v' e s
mägrätjärvie	m' ae! g r' ae t j ae r v' i e
mägyriččua	m' ae! g' y r' i ch u a
mägyriččua	m' ae! g' y r' i ch ch u a
mägyčäl	m' ae! g' y ch ae l
mägyččy	m' ae! g' y ch y
mägyččy	m' ae! g' y ch ch y
mäil	m' ae! j l
mäile	m' ae! j l' e
mäin	m' ae! j n
mäinoččua	m' ae! j n o ch u a
mäinoččua	m' ae! j n o ch ch u a
mäis	m' ae! j s
mäispäi	m' ae! j s p' ae j
mäit	m' ae! j t
mällätä	m' ae! l' ae t' ae
mällätä	m' ae! l' l' ae t' ae
mängähtih	m' ae! n g' ae h t' i h
märgy	m' ae! r g' y
märgykohtih	m' ae! r g' y k o h t' i h
märčin	m' ae! r ch i n
mättähih	m' ae! t' ae h' i h
mättähih	m' ae! t' t' ae h' i h
mättähis	m' ae! t' ae h' i s
mättähis	m' ae! t' t' ae h' i s
mättähäh	m' ae! t' ae h' ae h
mättähäh	m' ae! t' t' ae h' ae h
määry	m' ae:! r' y
mökkiine	m' oe! k' i: n' e
mökkiine	m' oe! k' k' i: n' e
mökkine	m' oe! k' i n' e
mökkine	m' oe! k' k' i n' e
mökkizet	m' oe! k' i z' e t
mökkizet	m' oe! k' k' i z' e t
mötti	m' oe! t' i
mötti	m' oe! t' t' i
n'ablai	n' a! b l a j
n'amuu	n' a! m u:
n'amuvakkaine	n' a! m u v a k a j n' e
n'amuvakkaine	n' a! m u v a k k a j n' e
n'apil	n' a! p' i l
n'apsaa	n' a! p s a:
n'apsandan	n' a! p s a n d a n
n'augujan	n' a! u g u j a n
n'aykätty	n' a! y k' ae t' y
n'aykätty	n' a! y k' ae t' t' y
n'okas	n' o! k a s
n'okat	n' o! k a t
n'okittih	n' o! k' i t' i h
n'okittih	n' o! k' i t' t' i h
n'okkah	n' o! k a h
n'okkah	n' o! k k a h
n'okkastu	n' o! k a s t u
n'okkastu	n' o! k k a s t u
n'okkih	n' o! k' i h
n'okkih	n' o! k' k' i h
n'orpan	n' o! r p a n
n'orpua	n' o! r p u a
n'uberoittau	n' u! b' e r o j t a u
n'uberoittau	n' u! b' e r o j t t a u
n'uglain	n' u! g l a j n
n'uliži	n' u! l' i zh i^
n'uman	n' u! m a n
n'uppušuapku	n' u! p u sh u a p k u
n'uppušuapku	n' u! p p u sh u a p k u
na	n a!
nad'a	n a! d' a
nadežda	n a d' e! zh d a
nado	n a! d o
naganat	n a! g a n a t
nagraa	n a! g r a:
nagrahtih	n a! g r a h t' i h
nagramah	n a! g r a m a h
nagrammo	n a! g r a m o
nagrammo	n a! g r a m m o
nagrandua	n a! g r a n d u a
nagrettih	n a! g r' e t' i h
nagrettih	n a! g r' e t' t' i h
nagrištu	n a! g r' i sh t u
nagroh	n a! g r o h
nagroi	n a! g r o j
nagron	n a! g r o n
nagruo	n a! g r u o
nahkahine	n a! h k a h' i n' e
nahku	n a! h k u
nai	n a! j
naiivizekse	n a! j i v' i z' e k s' e
naija	n a! j a
naimattoman	n a! j m a t o m a n
naimattoman	n a! j m a t t o m a n
nain	n a! j n
naine	n a! j n' e
naittua	n a! j t u a
naittua	n a! j t t u a
naizele	n a! j z' e l' e
naizet	n a! j z' e t
naizii	n a! j z' i:
naizis	n a! j z' i s
naištu	n a! j sh t u
naižen	n a! j zh e n
naižet	n a! j zh e t
naižien	n a! j zh i^ e n
naižii	n a! j zh i^:
naižile	n a! j zh i^ l' e
nakata	n a! k a t a
nalaadiheze	n a! l a: d' i h' e z' e
nareko	n a! r' e k o
nast'a	n a! s t' a
nast'oi	n a! s t' o j
nastasija	n a! s t a s' i j a
nastojuašoi	n a! s t o j u a sh o j
nastu	n a! s t u
natoi	n a! t o j
natsiedu	n a! t s' i e d u
naturalnoje	n a t u r a! l' n a i
navedii	n a! v' e d' i:
naverno	n a v' e! r n a
nazarov	n a! z a r o v
nazaroval	n a! z a r o v a l
nazarovan	n a! z a r o v a n
nazarovua	n a! z a r o v u a
naša	n a! sh a
našei	n a! sh e j
ne	n' e!
nedäli	n' e! d' ae l' i
nedälii	n' e! d' ae l' i:
nedälil	n' e! d' ae l' i l
nedälin	n' e! d' ae l' i n
nedälis	n' e! d' ae l' i s
neidižet	n' e! j d' i zh e t
neidižil	n' e! j d' i zh i^ l
neidoit	n' e! j d o j t
nein'arrel	n' e! j n' a r' e l
nein'arrel	n' e! j n' a r' r' e l
neičykköi	n' e! j ch y k' oe j
neičykköi	n' e! j ch y k' k' oe j
neičyköil	n' e! j ch y k' oe j l
nekrasovua	n' e! k r a s o v u a
nel'kymen	n' e! l' k' y m' e n
nel'l'andeh	n' e! l' a n d' e h
nel'l'andeh	n' e! l' l' a n d' e h
nel'l'i	n' e! l' i
nel'l'i	n' e! l' l' i
nelli	n' e! l' i
nelli	n' e! l' l' i
nellihengiine	n' e! l' i h' e n g' i: n' e
nellihengiine	n' e! l' l' i h' e n g' i: n' e
nellikondožin	n' e! l' i k o n d o zh i^ n
nellikondožin	n' e! l' l' i k o n d o zh i^ n
nellikymen	n' e! l' i k' y m' e n
nellikymen	n' e! l' l' i k' y m' e n
nellikymennelläs	n' e! l' i k' y m' e n' e l' ae s
nellikymennelläs	n' e! l' l' i k' y m' e n' e l' ae s
nellikymennelläs	n' e! l' i k' y m' e n' n' e l' ae s
nellikymennelläs	n' e! l' l' i k' y m' e n' n' e l' ae s
nellikymennelläs	n' e! l' i k' y m' e n' e l' l' ae s
nellikymennelläs	n' e! l' l' i k' y m' e n' e l' l' ae s
nellikymennelläs	n' e! l' i k' y m' e n' n' e l' l' ae s
nellikymennelläs	n' e! l' l' i k' y m' e n' n' e l' l' ae s
nellikymenviijes	n' e! l' i k' y m' e n v' i: j e s
nellikymenviijes	n' e! l' l' i k' y m' e n v' i: j e s
nellikymenviiži	n' e! l' i k' y m' e n v' i: zh i^
nellikymenviiži	n' e! l' l' i k' y m' e n v' i: zh i^
nellikymmen	n' e! l' i k' y m' e n
nellikymmen	n' e! l' l' i k' y m' e n
nellikymmen	n' e! l' i k' y m' m' e n
nellikymmen	n' e! l' l' i k' y m' m' e n
nellikymmenviizi	n' e! l' i k' y m' e n v' i: z' i
nellikymmenviizi	n' e! l' l' i k' y m' e n v' i: z' i
nellikymmenviizi	n' e! l' i k' y m' m' e n v' i: z' i
nellikymmenviizi	n' e! l' l' i k' y m' m' e n v' i: z' i
nellikymmenyksi	n' e! l' i k' y m' e n' y k s' i
nellikymmenyksi	n' e! l' l' i k' y m' e n' y k s' i
nellikymmenyksi	n' e! l' i k' y m' m' e n' y k s' i
nellikymmenyksi	n' e! l' l' i k' y m' m' e n' y k s' i
nellin	n' e! l' i n
nellin	n' e! l' l' i n
nellisadua	n' e! l' i s a d u a
nellisadua	n' e! l' l' i s a d u a
nellitostu	n' e! l' i t o s t u
nellitostu	n' e! l' l' i t o s t u
nellitoštu	n' e! l' i t o sh t u
nellitoštu	n' e! l' l' i t o sh t u
nelliäkymmen	n' e! l' i ae k' y m' e n
nelliäkymmen	n' e! l' l' i ae k' y m' e n
nelliäkymmen	n' e! l' i ae k' y m' m' e n
nelliäkymmen	n' e! l' l' i ae k' y m' m' e n
nelliäkymmendy	n' e! l' i ae k' y m' e n d' y
nelliäkymmendy	n' e! l' l' i ae k' y m' e n d' y
nelliäkymmendy	n' e! l' i ae k' y m' m' e n d' y
nelliäkymmendy	n' e! l' l' i ae k' y m' m' e n d' y
nelliäsadua	n' e! l' i ae s a d u a
nelliäsadua	n' e! l' l' i ae s a d u a
nellän	n' e! l' ae n
nellän	n' e! l' l' ae n
nellänkymenviijendel	n' e! l' ae n k' y m' e n v' i: j e n d' e l
nellänkymenviijendel	n' e! l' l' ae n k' y m' e n v' i: j e n d' e l
nelläs	n' e! l' ae s
nelläs	n' e! l' l' ae s
nellästostu	n' e! l' ae s t o s t u
nellästostu	n' e! l' l' ae s t o s t u
nemcoin	n' e! m ts o j n
nene	n' e! n' e
nenga	n' e! n g a
nengaleite	n' e! n g a l' e j t' e
nengaleiten	n' e! n g a l' e j t' e n
nengoine	n' e! n g o j n' e
nengoizes	n' e! n g o j z' e s
nengomaa	n' e! n g o m a:
nengomas	n' e! n g o m a s
nengomat	n' e! n g o m a t
nengomis	n' e! n g o m' i s
nengomua	n' e! n g o m u a
nengostu	n' e! n g o s t u
nengozet	n' e! n g o z' e t
nenii	n' e! n' i:
nenil	n' e! n' i l
neniä	n' e! n' i ae
nenne	n' e! n' e
nenne	n' e! n' n' e
nenä	n' e! n' ae
nenäh	n' e! n' ae h
nenän	n' e! n' ae n
nenäpaikan	n' e! n' ae p a j k a n
nenäsullat	n' e! n' ae s u l a t
nenäsullat	n' e! n' ae s u l l a t
nero	n' e! r o
neroh	n' e! r o h
nerokas	n' e! r o k a s
nerokkahasti	n' e! r o k a h a s t' i
nerokkahasti	n' e! r o k k a h a s t' i
nerokkahat	n' e! r o k a h a t
nerokkahat	n' e! r o k k a h a t
nerokkahembat	n' e! r o k a h' e m b a t
nerokkahembat	n' e! r o k k a h' e m b a t
nerokse	n' e! r o k s' e
neroniekoin	n' e! r o n' i e k o j n
neroniemeh	n' e! r o n' i e m' e h
nerot	n' e! r o t
nerottomah	n' e! r o t o m a h
nerottomah	n' e! r o t t o m a h
neruo	n' e! r u o
nestrašiimoi	n' e! s t r a sh i^: m o j
net	n' e! t
nethäi	n' e! t h' ae j
netu	n' e! t u
netädä	n' e! t' ae d' ae
neukymen	n' e! u k' y m' e n
nevskoin	n' e! v s k o j n
nevvoi	n' e! v o j
nevvoi	n' e! v v o j
nevvojannu	n' e! v o j a n u
nevvojannu	n' e! v v o j a n u
nevvojannu	n' e! v o j a n n u
nevvojannu	n' e! v v o j a n n u
nevvomah	n' e! v o m a h
nevvomah	n' e! v v o m a h
nevvon	n' e! v o n
nevvon	n' e! v v o n
nevvondoi	n' e! v o n d o j
nevvondoi	n' e! v v o n d o j
nevvos	n' e! v o s
nevvos	n' e! v v o s
nevvosto	n' e! v o s t o
nevvosto	n' e! v v o s t o
nevvostovaldivon	n' e! v o s t o v a l d' i v o n
nevvostovaldivon	n' e! v v o s t o v a l d' i v o n
nevvot	n' e! v o t
nevvot	n' e! v v o t
nevvotettih	n' e! v o t' e t' i h
nevvotettih	n' e! v v o t' e t' i h
nevvotettih	n' e! v o t' e t' t' i h
nevvotettih	n' e! v v o t' e t' t' i h
nevvottih	n' e! v o t' i h
nevvottih	n' e! v v o t' i h
nevvottih	n' e! v o t' t' i h
nevvottih	n' e! v v o t' t' i h
nevvuo	n' e! v u o
nevvuo	n' e! v v u o
neče	n' e! ch e
nečevo	n' e! ch e v o
nečidä	n' e! ch i d' ae
neželatel'nih	n' e! zh e l a t' e l' n' i h
ni	n' i!
niegluo	n' i! e g l u o
niemi	n' i! e m' i
nifantjeva	n' i! f a n t j e v a
nigu	n' i! g u
niidy	n' i:! d' y
niih	n' i:! h
niil	n' i:! l
niilöi	n' i:! l' oe j
niilöih	n' i:! l' oe j h
niilöil	n' i:! l' oe j l
niilöin	n' i:! l' oe j n
niilöis	n' i:! l' oe j s
niilöispäi	n' i:! l' oe j s p' ae j
niis	n' i:! s
niistiet	n' i:! s t' i e t
niitetty	n' i:! t' e t' y
niitetty	n' i:! t' e t' t' y
niitetäh	n' i:! t' e t' ae h
niitoksen	n' i:! t o k s' e n
niittiä	n' i:! t' i ae
niittiä	n' i:! t' t' i ae
niittänyh	n' i:! t' ae n' y h
niittänyh	n' i:! t' t' ae n' y h
niityl	n' i:! t' y l
niityle	n' i:! t' y l' e
niitäkkiä	n' i:! t' ae k' i ae
niitäkkiä	n' i:! t' ae k' k' i ae
niitämmö	n' i:! t' ae m' oe
niitämmö	n' i:! t' ae m' m' oe
nikedä	n' i! k' e d' ae
nikelle	n' i! k' e l' e
nikelle	n' i! k' e l' l' e
niken	n' i! k' e n
nikenen	n' i! k' e n' e n
nikes	n' i! k' e s
nikita	n' i k' i! t a
nikkelin	n' i! k' e l' i n
nikkelin	n' i! k' k' e l' i n
nikolai	n' i k o l a! j
nikolain	n' i! k o l a j n
nikonzu	n' i! k o n z u
nikui	n' i! k u j
nikunne	n' i! k u n' e
nikunne	n' i! k u n' n' e
nikunnepäi	n' i! k u n' e p' ae j
nikunnepäi	n' i! k u n' n' e p' ae j
nikunzu	n' i! k u n z u
nikus	n' i! k u s
nikutjev	n' i! k u t j e v
nimeh	n' i! m' e h
nimel	n' i! m' e l
nimen	n' i! m' e n
nimet	n' i! m' e t
nimetöi	n' i! m' e t' oe j
nimi	n' i! m' i
nimidä	n' i! m' i d' ae
nimigi	n' i! m' i g' i
nimiine	n' i! m' i: n' e
nimilleh	n' i! m' i l' e h
nimilleh	n' i! m' i l' l' e h
nimine	n' i! m' i n' e
nimiteldih	n' i! m' i t' e l d' i h
nimitettih	n' i! m' i t' e t' i h
nimitettih	n' i! m' i t' e t' t' i h
nimitetty	n' i! m' i t' e t' y
nimitetty	n' i! m' i t' e t' t' y
nimitin	n' i! m' i t' i n
nimitti	n' i! m' i t' i
nimitti	n' i! m' i t' t' i
nimittumaa	n' i! m' i t u m a:
nimittumaa	n' i! m' i t t u m a:
nimittumua	n' i! m' i t u m u a
nimittumua	n' i! m' i t t u m u a
nimittömäh	n' i! m' i t' oe m' ae h
nimittömäh	n' i! m' i t' t' oe m' ae h
nimituttu	n' i! m' i t u t u
nimituttu	n' i! m' i t u t t u
nivel'	n' i! v' e l'
nivelii	n' i! v' e l' i:
niäritteli	n' i! ae r' i t' e l' i
niäritteli	n' i! ae r' i t' t' e l' i
ničego	n' i ch i v o!
niškah	n' i! sh k a h
niškoi	n' i! sh k o j
no	n o!
nojabräl	n o! j a b r' ae l
nojah	n o! j a h
nojata	n o! j a t a
nojaten	n o! j a t' e n
nomer	n o! m' e r
noril'skas	n o! r' i l' s k a s
noskah	n o! s k a h
nossut	n o! s u t
nossut	n o! s s u t
nosta	n o! s t a
nostah	n o! s t a h
nostaldi	n o! s t a l d' i
nostaldin	n o! s t a l d' i n
nostamah	n o! s t a m a h
nostamattah	n o! s t a m a t a h
nostamattah	n o! s t a m a t t a h
nostamižeh	n o! s t a m' i zh e h
nostammo	n o! s t a m o
nostammo	n o! s t a m m o
nostan	n o! s t a n
nostattua	n o! s t a t u a
nostattua	n o! s t a t t u a
nostau	n o! s t a u
nostetah	n o! s t' e t a h
nostettaš	n o! s t' e t a sh
nostettaš	n o! s t' e t t a sh
nostettih	n o! s t' e t' i h
nostettih	n o! s t' e t' t' i h
nostettu	n o! s t' e t u
nostettu	n o! s t' e t t u
nostetut	n o! s t' e t u t
nosti	n o! s t' i
nostih	n o! s t' i h
nostiimmo	n o! s t' i: m o
nostiimmo	n o! s t' i: m m o
nostin	n o! s t' i n
nostua	n o! s t u a
nostuu	n o! s t u:
noudailii	n o! u d a j l' i:
noudi	n o! u d' i
nouze	n o! u z' e
nouzeldi	n o! u z' e l d' i
nouzendu	n o! u z' e n d u
nouzetto	n o! u z' e t o
nouzetto	n o! u z' e t t o
nouzi	n o! u z' i
nouzijat	n o! u z' i j a t
nouzin	n o! u z' i n
nouzou	n o! u z o u
novikkoih	n o! v' i k o j h
novikkoih	n o! v' i k k o j h
novikoi	n o! v' i k o j
novomu	n o! v a m u
nu	n u!
nuaglata	n u! a g l a t a
nukahtamah	n u! k a h t a m a h
nuoratoi	n u! o r a t o j
nuordu	n u! o r d u
nuorekse	n u! o r' e k s' e
nuorembi	n u! o r' e m b' i
nuorembua	n u! o r' e m b u a
nuoren	n u! o r' e n
nuorennu	n u! o r' e n u
nuorennu	n u! o r' e n n u
nuoret	n u! o r' e t
nuori	n u! o r' i
nuorikkažet	n u! o r' i k a zh e t
